iata,ville,pays,nom,ville_fr,pays_fr,mots,liaisons
CCM,Criciuma,Brazil,Diomício Freitas,,Brésil,,4
CMA,Cunnamulla,Australia,Cunnamulla,,Australie,,4
JNX,Cyclades Islands,Greece,Naxos,,Grèce,,4
DRV,DHARAVANDHOO,Maldives,Dharavandhoo,,,,4
DAV,David,Panama,Enrique Malek,,Panama,,4
TVY,Dawei,Burma,Dawei,,,,4
YDQ,Dawson Creek,Canada,Dawson Creek,,,,4
LGI,Dead Man's Cay,Bahamas,Deadman's Cay,,Bahamas,,4
DOL,Deauville,France,Deauville-Saint-Gatien,,,,4
DEB,Debrecen,Hungary,Debrecen,,Hongrie,,4
DEC,Decatur,United States,Decatur,,États-Unis,USA US Etats Unis,4
YWJ,Deline,Canada,Déline,,,,4
DNZ,Denizli,Turkey,Çardak,,Turquie,,4
DSK,Dera Ismael Khan,Pakistan,Dera Ismael Khan,,,,4
DCN,Derby,Australia,RAAF Base Curtin,,Australie,,4
DIK,Dickinson,United States,Dickinson Theodore Roosevelt Regional,,États-Unis,USA US Etats Unis,4
DLY,Dillon's Bay,Vanuatu,Dillon's Bay,,,,4
DMU,Dimapur,India,Dimapur,,Inde,,4
DIU,Diu,India,Diu,,Inde,,4
VDH,Dong Hoi,Vietnam,Dong Hoi,,Viêt Nam,,4
CFN,Dongloe,Ireland,Donegal,,Irlande,,4
DUJ,Du Bois,United States,DuBois Regional,,États-Unis,USA US Etats Unis,4
DBQ,Dubuque IA,United States,Dubuque Regional,,États-Unis,USA US Etats Unis,4
IPC,Easter Island,Chile,Mataveri,,Chili,,4
ZEM,Eastmain River,Canada,Eastmain River,,,,4
ELF,El Fasher,Sudan,El Fasher,,,,4
ELG,El Golea,Algeria,El Golea,,Algérie,,4
EMD,Emerald,Australia,Emerald,,Australie,,4
ERL,Erenhot,China,Erenhot Saiwusu,,Chine,,4
EBJ,Esbjerg,Denmark,Esbjerg,,Danemark,,4
LYP,Faisalabad,Pakistan,Faisalabad,,,,4
FAV,Fakarava,French Polynesia,Fakarava,,,,4
FLG,Flagstaff,United States,Flagstaff Pulliam,,États-Unis,USA US Etats Unis,4
FLO,Florence,United States,Florence Regional,Florence,États-Unis,USA US Etats Unis,4
FLA,Florencia,Colombia,Gustavo Artunduaga Paredes,,Colombie,,4
YFA,Fort Albany,Canada,Fort Albany,,,,4
YPY,Fort Chipewyan,Canada,Fort Chipewyan,,,,4
YGH,Fort Good Hope,Canada,Fort Good Hope,,,,4
YFS,Fort Simpson,Canada,Fort Simpson,,,,4
FUO,Foshan,China,Foshan Shadi,,Chine,,4
FRW,Francistown,Botswana,Francistown,,,,4
FKL,Franklin,United States,Venango Regional,,États-Unis,USA US Etats Unis,4
FTA,Futuna Island,Vanuatu,Futuna,,,,4
GAE,Gabes,Tunisia,Gabès Matmata,,Tunisie,,4
GPS,Galapagos,Ecuador,Seymour,,,,4
GCK,Garden City,United States,Garden City Regional,,États-Unis,USA US Etats Unis,4
GOU,Garoua,Cameroon,Garoua,,,,4
YGP,Gaspe,Canada,Gaspé (Michel-Pouliot),,,,4
EGN,Geneina,Sudan,Geneina,,,,4
YGX,Gillam,Canada,Gillam,,,,4
GIS,Gisborne,New Zealand,Gisborne,,Nouvelle-Zélande,,4
GOQ,Golmud,China,Golmud,,Chine,,4
GDQ,Gondar,Ethiopia,Gonder,,,,4
GOP,Gorakhpur,India,Gorakhpur,,Inde,,4
PGV,Greenville,United States,Pitt Greenville,,États-Unis,USA US Etats Unis,4
GFF,Griffith,Australia,Griffith,,Australie,,4
GPI,Guapi,Colombia,Juan Casiano,,Colombie,,4
URY,Guriat,Saudi Arabia,Gurayat Domestic,,Arabie saoudite,,4
HAQ,Haa Dhaalu Atoll,Maldives,Hanimaadhoo,,,,4
