iata,ville,pays,nom,ville_fr,pays_fr,mots,liaisons
ATL,Atlanta,United States,Hartsfield Jackson Atlanta,,États-Unis,USA US Etats Unis,1826
ORD,Chicago,United States,Chicago O'Hare,,États-Unis,USA US Etats Unis,1108
PEK,Beijing,China,Beijing Capital,Pékin,Chine,,1069
LHR,London,United Kingdom,London Heathrow,Londres,Royaume-Uni,Angleterre GB Grande-Bretagne,1051
CDG,Paris,France,Charles de Gaulle,,,,1041
FRA,Frankfurt,Germany,Frankfurt am Main,Francfort,Allemagne,,990
LAX,Los Angeles,United States,Los Angeles,,États-Unis,USA US Etats Unis,990
DFW,Dallas-Fort Worth,United States,Dallas Fort Worth,,États-Unis,USA US Etats Unis,936
JFK,New York,United States,John F Kennedy,,États-Unis,NYC USA US Etats Unis,911
AMS,Amsterdam,Netherlands,Amsterdam Schiphol,,Pays-Bas,Hollande,903
PVG,Shanghai,China,Shanghai Pudong,,Chine,,825
SIN,Singapore,Singapore,Singapore Changi,Singapour,Singapour,,820
BCN,Barcelona,Spain,Barcelona,Barcelone,Espagne,,783
ICN,Seoul,South Korea,Incheon,Séoul,Corée du Sud,,740
DEN,Denver,United States,Denver,,États-Unis,USA US Etats Unis,735
MIA,Miami,United States,Miami,,États-Unis,USA US Etats Unis,734
MUC,Munich,Germany,Munich,Munich,Allemagne,,728
IST,Istanbul,Turkey,Istanbul,Istanbul,Turquie,,719
DXB,Dubai,United Arab Emirates,Dubai,Dubaï,Émirats arabes unis,,710
HKG,Hong Kong,Hong Kong,Hong Kong,,,,710
LGW,London,United Kingdom,London Gatwick,Londres,Royaume-Uni,Angleterre GB Grande-Bretagne,708
CAN,Guangzhou,China,Guangzhou Baiyun,,Chine,,674
FCO,Rome,Italy,Leonardo da Vinci–Fiumicino,Rome,Italie,,662
MAD,Madrid,Spain,Adolfo Suárez Madrid–Barajas,,Espagne,,661
BKK,Bangkok,Thailand,Suvarnabhumi,,Thaïlande,,656
DME,Moscow,Russia,Domodedovo,Moscou,Russie,,649
CTU,Chengdu,China,Chengdu Shuangliu,,Chine,,647
YYZ,Toronto,Canada,Lester B. Pearson,,,,636
BRU,Brussels,Belgium,Brussels,Bruxelles,Belgique,,631
MAN,Manchester,United Kingdom,Manchester,,Royaume-Uni,Angleterre GB Grande-Bretagne,627
VIE,Vienna,Austria,Vienna,Vienne,Autriche,,616
CLT,Charlotte,United States,Charlotte Douglas,,États-Unis,USA US Etats Unis,600
PHL,Philadelphia,United States,Philadelphia,,États-Unis,USA US Etats Unis,576
NRT,Tokyo,Japan,Narita,,Japon,,575
DUS,Duesseldorf,Germany,Düsseldorf,,Allemagne,,570
XIY,Xi'an,China,Xi'an Xianyang,,Chine,,563
PMI,Palma de Mallorca,Spain,Palma De Mallorca,,Espagne,,548
KMG,Kunming,China,Kunming Changshui,,Chine,,545
CKG,Chongqing,China,Chongqing Jiangbei,,Chine,,540
DEL,Delhi,India,Indira Gandhi,,Inde,,527
TPE,Taipei,Taiwan,Taiwan Taoyuan,,,,527
KUL,Kuala Lumpur,Malaysia,Kuala Lumpur,,,,514
PHX,Phoenix,United States,Phoenix Sky Harbor,,États-Unis,USA US Etats Unis,508
HGH,Hangzhou,China,Hangzhou Xiaoshan,,Chine,,506
EWR,Newark,United States,Newark Liberty,,États-Unis,USA US Etats Unis,505
SFO,San Francisco,United States,San Francisco,,États-Unis,USA US Etats Unis,499
LAS,Las Vegas,United States,McCarran,,États-Unis,USA US Etats Unis,498
ZRH,Zurich,Switzerland,Zürich,,Suisse,,494
IAH,Houston,United States,George Bush Intercontinental Houston,,États-Unis,USA US Etats Unis,485
MEX,Mexico City,Mexico,Licenciado Benito Juarez,Mexico,Mexique,Mexico DF,485
AUH,Abu Dhabi,United Arab Emirates,Abu Dhabi,,Émirats arabes unis,,477
MCO,Orlando,United States,Orlando,,États-Unis,USA US Etats Unis,475
SZX,Shenzhen,China,Shenzhen Bao'an,,Chine,,467
XMN,Xiamen,China,Xiamen Gaoqi,,Chine,,466
CPH,Copenhagen,Denmark,Copenhagen Kastrup,Copenhague,Danemark,,457
BOM,Mumbai,India,Chhatrapati Shivaji,Bombay,Inde,,452
ARN,Stockholm,Sweden,Stockholm-Arlanda,,Suède,,439
LIS,Lisbon,Portugal,Humberto Delgado (Lisbon Portela),Lisbonne,Portugal,,435
DTW,Detroit,United States,Detroit Metropolitan Wayne County,,États-Unis,USA US Etats Unis,433
MSP,Minneapolis,United States,Minneapolis-St Paul/Wold-Chamberlain,,États-Unis,USA US Etats Unis,430
BOS,Boston,United States,General Edward Lawrence Logan,,États-Unis,USA US Etats Unis,424
TXL,Berlin,Germany,Berlin-Tegel,,Allemagne,,418
DUB,Dublin,Ireland,Dublin,,Irlande,,414
SHA,Shanghai,China,Shanghai Hongqiao,,Chine,,411
AGP,Malaga,Spain,Málaga,Málaga,Espagne,,410
SYD,Sydney,Australia,Sydney Kingsford Smith,,Australie,,410
ORY,Paris,France,Paris-Orly,,,,404
ATH,Athens,Greece,Eleftherios Venizelos,Athènes,Grèce,,403
SEA,Seattle,United States,Seattle Tacoma,,États-Unis,USA US Etats Unis,403
SVO,Moscow,Russia,Sheremetyevo,Moscou,Russie,,397
DCA,Washington,United States,Ronald Reagan Washington National,,États-Unis,USA US Etats Unis,388
GRU,Sao Paulo,Brazil,Guarulhos - Governador André Franco Montoro,São Paulo,Brésil,,387
MNL,Manila,Philippines,Ninoy Aquino,,Philippines,,386
MXP,Milano,Italy,Malpensa,,Italie,,386
IAD,Washington,United States,Washington Dulles,,États-Unis,USA US Etats Unis,386
CSX,Changcha,China,Changsha Huanghua,,Chine,,377
DOH,Doha,Qatar,Hamad,,,,377
JED,Jeddah,Saudi Arabia,King Abdulaziz,,Arabie saoudite,,377
TAO,Qingdao,China,Liuting,,Chine,,376
FLL,Fort Lauderdale,United States,Fort Lauderdale Hollywood,,États-Unis,USA US Etats Unis,374
WUH,Wuhan,China,Wuhan Tianhe,,Chine,,374
YUL,Montreal,Canada,Montreal / Pierre Elliott Trudeau,Montréal,,,371
LED,St. Petersburg,Russia,Pulkovo,,Russie,,368
CGK,Jakarta,Indonesia,Soekarno-Hatta,,Indonésie,,367
OSL,Oslo,Norway,Oslo Lufthavn,,Norvège,,363
PRG,Prague,Czech Republic,Václav Havel Prague,Prague,Tchéquie,Republique tcheque,361
CGO,Zhengzhou,China,Zhengzhou Xinzheng,,Chine,,348
STN,London,United Kingdom,London Stansted,Londres,Royaume-Uni,Angleterre GB Grande-Bretagne,343
NKG,Nanjing,China,Nanjing Lukou,,Chine,,330
GVA,Geneva,Switzerland,Geneva Cointrin,Genève,Suisse,,329
HAM,Hamburg,Germany,Hamburg,Hambourg,Allemagne,,321
JNB,Johannesburg,South Africa,OR Tambo,Johannesbourg,Afrique du Sud,,321
HEL,Helsinki,Finland,Helsinki Vantaa,,Finlande,,320
TFS,Tenerife,Spain,Tenerife South,,Espagne,,318
LGA,New York,United States,La Guardia,,États-Unis,NYC USA US Etats Unis,316
HND,Tokyo,Japan,Tokyo Haneda,,Japon,,315
YVR,Vancouver,Canada,Vancouver,,,,315
ALC,Alicante,Spain,Alicante,,Espagne,,314
CUN,Cancun,Mexico,Cancún,Cancún,Mexique,,311
LPA,Gran Canaria,Spain,Gran Canaria,,Espagne,,308
BOG,Bogota,Colombia,El Dorado,Bogotá,Colombie,,307
URC,Urumqi,China,Ürümqi Diwopu,,Chine,,306
KIX,Osaka,Japan,Kansai,,Japon,,304
CAI,Cairo,Egypt,Cairo,Le Caire,Égypte,,303
BNE,Brisbane,Australia,Brisbane,,Australie,,296
TSN,Tianjin,China,Tianjin Binhai,,Chine,,294
SAW,Istanbul,Turkey,Sabiha Gökçen,Istanbul,Turquie,,290
BWI,Baltimore,United States,Baltimore/Washington Thurgood Marshall,,États-Unis,USA US Etats Unis,286
DLC,Dalian,China,Zhoushuizi,,Chine,,285
SLC,Salt Lake City,United States,Salt Lake City,,États-Unis,USA US Etats Unis,278
RUH,Riyadh,Saudi Arabia,King Khaled,,Arabie saoudite,,276
TPA,Tampa,United States,Tampa,,États-Unis,USA US Etats Unis,276
LYS,Lyon,France,Lyon Saint-Exupéry,,,,275
KWE,Guiyang,China,Longdongbao,,Chine,,274
STR,Stuttgart,Germany,Stuttgart,,Allemagne,,273
SHE,Shenyang,China,Taoxian,,Chine,,272
MDW,Chicago,United States,Chicago Midway,,États-Unis,USA US Etats Unis,271
TLV,Tel-aviv,Israel,Ben Gurion,,Israël,,271
TNA,Jinan,China,Yaoqiang,,Chine,,270
MEL,Melbourne,Australia,Melbourne,,Australie,,269
NCE,Nice,France,Nice-Côte d'Azur,,,,269
FOC,Fuzhou,China,Fuzhou Changle,,Chine,,266
CGN,Cologne,Germany,Cologne Bonn,Cologne,Allemagne,,265
MRS,Marseille,France,Marseille Provence,,,,265
BHX,Birmingham,United Kingdom,Birmingham,,Royaume-Uni,Angleterre GB Grande-Bretagne,264
HRB,Harbin,China,Taiping,,Chine,,259
NBO,Nairobi,Kenya,Jomo Kenyatta,,Kenya,,258
AYT,Antalya,Turkey,Antalya,,Turquie,,253
CMN,Casablanca,Morocco,Mohammed V,,Maroc,,250
MSY,New Orleans,United States,Louis Armstrong New Orleans,La Nouvelle-Orléans,États-Unis,USA US Etats Unis,248
VCE,Venice,Italy,Venice Marco Polo,Venise,Italie,,245
WAW,Warsaw,Poland,Warsaw Chopin,Varsovie,Pologne,,240
KWI,Kuwait,Kuwait,Kuwait,,,,239
SAN,San Diego,United States,San Diego,,États-Unis,USA US Etats Unis,238
EDI,Edinburgh,United Kingdom,Edinburgh,Édimbourg,Royaume-Uni,Angleterre GB Grande-Bretagne,237
ACE,Arrecife,Spain,Lanzarote,,Espagne,,233
CTA,Catania,Italy,Catania-Fontanarossa,,Italie,,233
HNL,Honolulu,United States,Daniel K Inouye,,États-Unis,USA US Etats Unis,233
LIM,Lima,Peru,Jorge Chávez,,Pérou,,230
PDX,Portland,United States,Portland,,États-Unis,USA US Etats Unis,230
YYC,Calgary,Canada,Calgary,,,,228
NNG,Nanning,China,Nanning Wuxu,,Chine,,228
OTP,Bucharest,Romania,Henri Coandă,Bucarest,Roumanie,,227
MLA,Malta,Malta,Malta,,,,226
AMM,Amman,Jordan,Queen Alia,,,,223
STL,St. Louis,United States,St Louis Lambert,,États-Unis,USA US Etats Unis,221
TYN,Taiyuan,China,Taiyuan Wusu,,Chine,,220
HER,Heraklion,Greece,Heraklion Nikos Kazantzakis,,Grèce,,219
SGN,Ho Chi Minh City,Vietnam,Tan Son Nhat,,Viêt Nam,,218
SYX,Sanya,China,Sanya Phoenix,,Chine,,218
HAK,Haikou,China,Haikou Meilan,,Chine,,215
ADD,Addis Ababa,Ethiopia,Addis Ababa Bole,,,,214
KWL,Guilin,China,Guilin Liangjiang,,Chine,,214
LTN,London,United Kingdom,London Luton,Londres,Royaume-Uni,Angleterre GB Grande-Bretagne,214
AKL,Auckland,New Zealand,Auckland,,Nouvelle-Zélande,,213
PTY,Panama City,Panama,Tocumen,,Panama,,212
FAO,Faro,Portugal,Faro,,Portugal,,211
MAA,Madras,India,Chennai,,Inde,,211
MCT,Muscat,Oman,Muscat,,,,208
SJU,San Juan,Puerto Rico,Luis Munoz Marin,,,,204
CMB,Colombo,Sri Lanka,Bandaranaike Colombo,,,,203
IBZ,Ibiza,Spain,Ibiza,,Espagne,,202
KBP,Kiev,Ukraine,Boryspil,,Ukraine,,202
OPO,Porto,Portugal,Francisco de Sá Carneiro,,Portugal,,202
RIX,Riga,Latvia,Riga,,,,202
DPS,Denpasar,Indonesia,Ngurah Rai (Bali),,Indonésie,,201
BRS,Bristol,United Kingdom,Bristol,,Royaume-Uni,Angleterre GB Grande-Bretagne,200
SVX,Yekaterinburg,Russia,Koltsovo,,Russie,,199
BSB,Brasilia,Brazil,Presidente Juscelino Kubistschek,,Brésil,,197
GLA,Glasgow,United Kingdom,Glasgow,,Royaume-Uni,Angleterre GB Grande-Bretagne,196
BLR,Bangalore,India,Kempegowda,,Inde,,195
BUD,Budapest,Hungary,Budapest Liszt Ferenc,,Hongrie,,195
SHJ,Sharjah,United Arab Emirates,Sharjah,,Émirats arabes unis,,195
CCU,Kolkata,India,Netaji Subhash Chandra Bose,,Inde,,194
GIG,Rio De Janeiro,Brazil,Rio Galeão – Tom Jobim,,Brésil,,194
EMA,East Midlands,United Kingdom,East Midlands,,Royaume-Uni,Angleterre GB Grande-Bretagne,192
FUE,Fuerteventura,Spain,Fuerteventura,,Espagne,,192
LCA,Larnaca,Cyprus,Larnaca,,,,190
BSL,Mulhouse,France,EuroAirport Basel-Mulhouse-Freiburg,,,,189
GDL,Guadalajara,Mexico,Don Miguel Hidalgo Y Costilla,,Mexique,,185
NTE,Nantes,France,Nantes Atlantique,,,,183
PER,Perth,Australia,Perth,,Australie,,182
CCS,Caracas,Venezuela,Simón Bolívar,,,,181
OVB,Novosibirsk,Russia,Tolmachevo,,Russie,,177
ALG,Algier,Algeria,Houari Boumediene,,Algérie,,176
BLQ,Bologna,Italy,Bologna Guglielmo Marconi,,Italie,,176
TUN,Tunis,Tunisia,Tunis Carthage,,Tunisie,,175
HAN,Hanoi,Vietnam,Noi Bai,,Viêt Nam,,174
HET,Hohhot,China,Baita,,Chine,,174
SKG,Thessaloniki,Greece,Thessaloniki Macedonia,,Grèce,,174
KHN,Nanchang,China,Nanchang Changbei,,Chine,,172
BEG,Belgrade,Serbia,Belgrade Nikola Tesla,Belgrade,Serbie,,171
VKO,Moscow,Russia,Vnukovo,Moscou,Russie,,171
BAH,Bahrain,Bahrain,Bahrain,,,,170
FUK,Fukuoka,Japan,Fukuoka,,Japon,,170
NGO,Nagoya,Japan,Chubu Centrair,,Japon,,169
CRL,Charleroi,Belgium,Brussels South Charleroi,,Belgique,,168
LHW,Lanzhou,China,Lanzhou Zhongchuan,,Chine,,168
NGB,Ninbo,China,Ningbo Lishe,,Chine,,168
RHO,Rhodos,Greece,Diagoras,,Grèce,,168
AUS,Austin,United States,Austin Bergstrom,,États-Unis,USA US Etats Unis,167
RDU,Raleigh-durham,United States,Raleigh Durham,,États-Unis,USA US Etats Unis,167
SXF,Berlin,Germany,Berlin-Schönefeld,,Allemagne,,165
NCL,Newcastle,United Kingdom,Newcastle,,Royaume-Uni,Angleterre GB Grande-Bretagne,165
DMM,Dammam,Saudi Arabia,King Fahd,,Arabie saoudite,,164
BNA,Nashville,United States,Nashville,,États-Unis,USA US Etats Unis,164
SJW,Shijiazhuang,China,Shijiazhuang Daguocun,,Chine,,164
VLC,Valencia,Spain,Valencia,,Espagne,,163
BGY,Bergamo,Italy,Il Caravaggio,,Italie,,162
CTS,Sapporo,Japan,New Chitose,,Japon,,162
WNZ,Wenzhou,China,Wenzhou Longwan,,Chine,,162
CLE,Cleveland,United States,Cleveland Hopkins,,États-Unis,USA US Etats Unis,161
TLS,Toulouse,France,Toulouse-Blagnac,,,,161
NAY,Beijing,China,Beijing Nanyuan,Pékin,Chine,,160
PUS,Busan,South Korea,Gimhae,,Corée du Sud,,160
LBA,Leeds,United Kingdom,Leeds Bradford,,Royaume-Uni,Angleterre GB Grande-Bretagne,160
TAS,Tashkent,Uzbekistan,Tashkent,,,,160
MCI,Kansas City,United States,Kansas City,,États-Unis,USA US Etats Unis,159
MFM,Macau,Macau,Macau,,,,158
NAP,Naples,Italy,Naples,Naples,Italie,,158
SCL,Santiago,Chile,Comodoro Arturo Merino Benítez,,Chili,,158
HFE,Hefei,China,Hefei Luogang,,Chine,,154
HAJ,Hannover,Germany,Hannover,,Allemagne,,152
PSA,Pisa,Italy,Pisa,,Italie,,152
CVG,Cincinnati,United States,Cincinnati Northern Kentucky,,États-Unis,USA US Etats Unis,150
EZE,Buenos Aires,Argentina,Ministro Pistarini,,Argentine,,149
HOU,Houston,United States,William P Hobby,,États-Unis,USA US Etats Unis,149
SJO,San Jose,Costa Rica,Juan Santamaria,San José,Costa Rica,,149
DAC,Dhaka,Bangladesh,Hazrat Shahjalal,,,,148
PIT,Pittsburgh,United States,Pittsburgh,,États-Unis,USA US Etats Unis,148
HYD,Hyderabad,India,Rajiv Gandhi,,Inde,,147
RAK,Marrakech,Morocco,Menara,,Maroc,,145
MTY,Monterrey,Mexico,General Mariano Escobedo,,Mexique,,145
PUJ,Punta Cana,Dominican Republic,Punta Cana,,République dominicaine,,143
LUX,Luxemburg,Luxembourg,Luxembourg-Findel,,,,140
YEG,Edmonton,Canada,Edmonton,,,,139
IND,Indianapolis,United States,Indianapolis,,États-Unis,USA US Etats Unis,138
HKT,Phuket,Thailand,Phuket,,Thaïlande,,138
BGO,Bergen,Norway,Bergen Flesland,,Norvège,,137
SAT,San Antonio,United States,San Antonio,,États-Unis,USA US Etats Unis,136
EIN,Eindhoven,Netherlands,Eindhoven,,Pays-Bas,Hollande,135
NAS,Nassau,Bahamas,Lynden Pindling,,Bahamas,,135
ALA,Alma-ata,Kazakhstan,Almaty,,,,134
DMK,Bangkok,Thailand,Don Mueang,,Thaïlande,,134
BOD,Bordeaux,France,Bordeaux-Mérignac,,,,134
DKR,Dakar,Senegal,Léopold Sédar Senghor,,Sénégal,,134
BEY,Beirut,Lebanon,Beirut Rafic Hariri,,Liban,,133
ADB,Izmir,Turkey,Adnan Menderes,,Turquie,,133
SOF,Sofia,Bulgaria,Sofia,,Bulgarie,,132
CGQ,Changchun,China,Longjia,,Chine,,131
SUB,Surabaya,Indonesia,Juanda,,Indonésie,,131
KHH,Kaohsiung,Taiwan,Kaohsiung,,,,129
LJG,Lijiang,China,Lijiang,,Chine,,129
GYD,Baku,Azerbaijan,Heydar Aliyev,,,,128
BIO,Bilbao,Spain,Bilbao,,Espagne,,128
AEP,Buenos Aires,Argentina,Jorge Newbery Airpark,,Argentine,,128
CMH,Columbus,United States,John Glenn Columbus,,États-Unis,USA US Etats Unis,128
RSW,Fort Myers,United States,Southwest Florida,,États-Unis,USA US Etats Unis,128
LCY,London,United Kingdom,London City,Londres,Royaume-Uni,Angleterre GB Grande-Bretagne,128
MHD,Mashhad,Iran,Mashhad,,,,128
SVQ,Sevilla,Spain,Sevilla,,Espagne,,127
PMO,Palermo,Italy,Falcone–Borsellino,,Italie,,126
KHI,Karachi,Pakistan,Jinnah,,,,125
MKE,Milwaukee,United States,General Mitchell,,États-Unis,USA US Etats Unis,125
THR,Teheran,Iran,Mehrabad,,,,125
OKA,Okinawa,Japan,Naha,,Japon,,123
IKA,Tehran,Iran,Imam Khomeini,,,,122
DBV,Dubrovnik,Croatia,Dubrovnik,,Croatie,,121
BVA,Beauvais,France,Paris Beauvais Tillé,,,,120
LIN,Milan,Italy,Milano Linate,Milan,Italie,,120
SJC,San Jose,United States,Norman Y. Mineta San Jose,San José,États-Unis,USA US Etats Unis,120
LOS,Lagos,Nigeria,Murtala Muhammed,,,,119
ZUH,Zhuhai,China,Zhuhai Jinwan,,Chine,,119
ANC,Anchorage,United States,Ted Stevens Anchorage,,États-Unis,USA US Etats Unis,118
CJU,Cheju,South Korea,Jeju,,Corée du Sud,,118
COK,Kochi,India,Cochin,,Inde,,118
ISB,Islamabad,Pakistan,New Islamabad,,,,117
DLM,Dalaman,Turkey,Dalaman,,Turquie,,116
LPL,Liverpool,United Kingdom,Liverpool John Lennon,,Royaume-Uni,Angleterre GB Grande-Bretagne,116
SSA,Salvador,Brazil,Deputado Luiz Eduardo Magalhães,,Brésil,,116
VNO,Vilnius,Lithuania,Vilnius,,,,116
VCP,Campinas,Brazil,Viracopos,,Brésil,,114
KRK,Krakow,Poland,Kraków John Paul II,,Pologne,,114
SXM,Philipsburg,Netherlands Antilles,Princess Juliana,,Antilles néerlandaises,,114
MEM,Memphis,United States,Memphis,,États-Unis,USA US Etats Unis,112
UPG,Ujung Pandang,Indonesia,Hasanuddin,,Indonésie,,112
YNT,Yantai,China,Yantai Laishan,,Chine,,112
LHE,Lahore,Pakistan,Alama Iqbal,,,,111
OAK,Oakland,United States,Metropolitan Oakland,,États-Unis,USA US Etats Unis,111
CNF,Belo Horizonte,Brazil,Tancredo Neves,,Brésil,,110
CNS,Cairns,Australia,Cairns,,Australie,,110
MSQ,Minsk 2,Belarus,Minsk National,,,,108
SMF,Sacramento,United States,Sacramento,,États-Unis,USA US Etats Unis,108
ACC,Accra,Ghana,Kotoka,,,,107
DYU,Dushanbe,Tajikistan,Dushanbe,,,,106
FLR,Florence,Italy,Peretola,Florence,Italie,,106
GOT,Gothenborg,Sweden,Gothenburg-Landvetter,,Suède,,106
SVG,Stavanger,Norway,Stavanger Sola,,Norvège,,106
ESB,Ankara,Turkey,Esenboğa,,Turquie,,105
SAL,San Salvador,El Salvador,Monseñor Óscar Arnulfo Romero,,,,105
FNC,Funchal,Portugal,Madeira,,Portugal,,104
BKI,Kota Kinabalu,Malaysia,Kota Kinabalu,,,,104
OLB,Olbia,Italy,Olbia Costa Smeralda,,Italie,,104
TSE,Tselinograd,Kazakhstan,Astana,,,,104
CFU,Kerkyra/corfu,Greece,Ioannis Kapodistrias,,Grèce,,103
BDL,Windsor Locks,United States,Bradley,,États-Unis,USA US Etats Unis,103
ABJ,Abidjan,Cote d'Ivoire,Port Bouet,,,,102
ADL,Adelaide,Australia,Adelaide,,Australie,,102
POM,Port Moresby,Papua New Guinea,Port Moresby Jacksons,,,,102
GDN,Gdansk,Poland,Gdańsk Lech Wałęsa,,Pologne,,101
SJD,San Jose Del Cabo,Mexico,Los Cabos,,Mexique,,101
BRI,Bari,Italy,Bari Karol Wojtyła,,Italie,,100
BRE,Bremen,Germany,Bremen,,Allemagne,,100
CIA,Rome,Italy,Ciampino–G. B. Pastine,Rome,Italie,,100
XNN,Xining,China,Xining Caojiabu,,Chine,,99
RGN,Yangon,Burma,Yangon,,,,99
DLA,Douala,Cameroon,Douala,,,,98
GRO,Gerona,Spain,Girona,,Espagne,,98
MED,Madinah,Saudi Arabia,Prince Mohammad Bin Abdulaziz,,Arabie saoudite,,98
CEB,Cebu,Philippines,Mactan Cebu,,Philippines,,97
SFB,Sanford,United States,Orlando Sanford,,États-Unis,USA US Etats Unis,97
SPU,Split,Croatia,Split,,Croatie,,97
CNX,Chiang Mai,Thailand,Chiang Mai,,Thaïlande,,95
YHZ,Halifax,Canada,Halifax / Stanfield,,,,95
NUE,Nuernberg,Germany,Nuremberg,,Allemagne,,95
TIP,Tripoli,Libya,Tripoli,,,,95
BLL,Billund,Denmark,Billund,,Danemark,,94
HHN,Hahn,Germany,Frankfurt-Hahn,,Allemagne,,94
CGH,Sao Paulo,Brazil,Congonhas,São Paulo,Brésil,,94
WUX,Wuxi,China,Sunan Shuofang,,Chine,,94
SDQ,Santo Domingo,Dominican Republic,Las Américas,Saint-Domingue,République dominicaine,,93
DWC,Dubai,United Arab Emirates,Al Maktoum,Dubaï,Émirats arabes unis,,92
KJA,Krasnoyarsk,Russia,Yemelyanovo,,Russie,,92
LAD,Luanda,Angola,Quatro de Fevereiro,,,,92
PVR,Puerto Vallarta,Mexico,Licenciado Gustavo Díaz Ordaz,,Mexique,,92
JAX,Jacksonville,United States,Jacksonville,,États-Unis,USA US Etats Unis,91
KEF,Keflavik,Iceland,Keflavik,,Islande,,91
KRR,Krasnodar,Russia,Krasnodar Pashkovsky,,Russie,,91
FRU,Bishkek,Kyrgyzstan,Manas,,,,90
CHQ,Chania,Greece,Chania,,Grèce,,90
DRW,Darwin,Australia,Darwin,,Australie,,90
NBE,Enfidha,Tunisia,Enfidha - Hammamet,,Tunisie,,90
KGS,Kos,Greece,Kos,,Grèce,,90
AUA,Oranjestad,Aruba,Queen Beatrix,,,Aruba,90
EVN,Yerevan,Armenia,Zvartnots,,,,90
MBJ,Montego Bay,Jamaica,Sangster,,Jamaïque,,89
YOW,Ottawa,Canada,Ottawa Macdonald-Cartier,,,,89
KTM,Kathmandu,Nepal,Tribhuvan,,,,88
JJN,Quanzhou,China,Quanzhou Jinjiang,,Chine,,88
PBI,West Palm Beach,United States,Palm Beach,,États-Unis,USA US Etats Unis,88
HAV,Havana,Cuba,José Martí,La Havane,Cuba,,87
CAG,Cagliari,Italy,Cagliari Elmas,,Italie,,86
CPT,Cape Town,South Africa,Cape Town,Le Cap,Afrique du Sud,,86
CWB,Curitiba,Brazil,Afonso Pena,,Brésil,,86
POA,Porto Alegre,Brazil,Salgado Filho,,Brésil,,86
SNA,Santa Ana,United States,John Wayne-Orange County,,États-Unis,USA US Etats Unis,86
TRN,Torino,Italy,Turin,,Italie,,86
TRD,Trondheim,Norway,Trondheim Værnes,,Norvège,,86
MLE,Male,Maldives,Malé,,,,85
PFO,Paphos,Cyprus,Paphos,,,,85
ZAG,Zagreb,Croatia,Zagreb,,Croatie,,85
OGG,Kahului,United States,Kahului,,États-Unis,USA US Etats Unis,84
ITM,Osaka,Japan,Osaka,,Japon,,84
PEN,Penang,Malaysia,Penang,,,,84
TRV,Trivandrum,India,Trivandrum,,Inde,,84
ABQ,Albuquerque,United States,Albuquerque Sunport,,États-Unis,USA US Etats Unis,83
SDF,Louisville,United States,Louisville Standiford Field,,États-Unis,USA US Etats Unis,83
NAN,Nandi,Fiji,Nadi,,,,83
TIJ,Tijuana,Mexico,General Abelardo L. Rodríguez,,Mexique,,83
ABZ,Aberdeen,United Kingdom,Aberdeen Dyce,,Royaume-Uni,Angleterre GB Grande-Bretagne,82
IKT,Irkutsk,Russia,Irkutsk,,Russie,,82
MRU,Plaisance,Mauritius,Sir Seewoosagur Ramgoolam,,,,82
HBE,Alexandria,Egypt,Borg El Arab,,Égypte,,81
KRT,Khartoum,Sudan,Khartoum,,,,81
OKC,Oklahoma City,United States,Will Rogers World,,États-Unis,USA US Etats Unis,81
REP,Siem-reap,Cambodia,Siem Reap,,,,81
YWG,Winnipeg,Canada,Winnipeg / James Armstrong Richardson,,,,81
COO,Cotonou,Benin,Cadjehoun,,,,80
LIL,Lille,France,Lille-Lesquin,,,,80
TSA,Taipei,Taiwan,Taipei Songshan,,,,80
HRG,Hurghada,Egypt,Hurghada,,Égypte,,79
LEJ,Leipzig,Germany,Leipzig/Halle,,Allemagne,,79
AJA,Ajaccio,France,Ajaccio-Napoléon Bonaparte,,,,78
KGL,Kigali,Rwanda,Kigali,,,,78
UIO,Quito,Ecuador,Mariscal Sucre,,,,78
GMP,Seoul,South Korea,Gimpo,Séoul,Corée du Sud,,78
SYZ,Shiraz,Iran,Shiraz Shahid Dastghaib,,,,78
GUA,Guatemala City,Guatemala,La Aurora,,,,77
PPT,Papeete,French Polynesia,Faa'a,,,,77
SSH,Sharm El Sheikh,Egypt,Sharm El Sheikh,,Égypte,,77
VRN,Villafranca,Italy,Verona Villafranca,,Italie,,77
JER,Jersey,Jersey,Jersey,,,,76
RIC,Richmond,United States,Richmond,,États-Unis,USA US Etats Unis,76
TLL,Tallinn-ulemiste International,Estonia,Lennart Meri Tallinn,,,,76
TSF,Treviso,Italy,Treviso-Sant'Angelo,,Italie,,76
NRN,Weeze,Germany,Weeze,,Allemagne,,76
YKS,Yakutsk,Russia,Yakutsk,,Russie,,76
DAL,Dallas,United States,Dallas Love Field,,États-Unis,USA US Etats Unis,75
KHV,Khabarovsk,Russia,Khabarovsk-Novy,,Russie,,75
SAH,Sanaa,Yemen,Sana'a,,,,75
CZX,Changzhou,China,Changzhou Benniu,,Chine,,74
ORF,Norfolk,United States,Norfolk,,États-Unis,USA US Etats Unis,74
RYG,Rygge,Norway,"Moss, Rygge",,Norvège,,74
TRF,Sandefjord,Norway,"Sandefjord, Torp",,Norvège,,74
DJE,Djerba,Tunisia,Djerba Zarzis,,Tunisie,,73
BPN,Balikpapan,Indonesia,Sultan Aji Muhamad Sulaiman,,Indonésie,,72
BIA,Bastia,France,Bastia-Poretta,,,,72
